codigoIATA,pais,ciudad,estadioFIFA,estadioOficial,capacidad,anio
ATL,USA,Atlanta,Atlanta Stadium,Mercedes‑Benz Stadium,71000,2017
BOS,USA,Foxborough,Boston Stadium,Gillette Stadium,64628,2002
DFW,USA,Arlington,Dallas Stadium,AT&T Stadium,80000,2009
EWR,USA,East Rutherford,New York/New Jersey Stadium,MetLife Stadium,82500,2010
GDL,MEXICO,Guadalajara,Estadio Guadalajara,Estadio Akron,49813,2010
HOU,USA,Houston,Houston Stadium,NRG Stadium,72220,2002
LAX,USA,Inglewood,Los Angeles Stadium,SoFi Stadium,70240,2020
MCI,USA,Kansas City,Kansas City Stadium,GEHA Field at Arrowhead Stadium,76416,1972
MEX,MEXICO,Ciudad de México,Estadio Azteca Mexico City,Estadio Azteca,83000,1966
MIA,USA,Miami Gardens,Miami Stadium,Hard Rock Stadium,64767,1987
MTY,MEXICO,Monterrey,Estadio Monterrey,Estadio BBVA,53500,2015
PHL,USA,Philadelphia,Philadelphia Stadium,Lincoln Financial Field,67594,2003
SEA,USA,Seattle,Seattle Stadium,Lumen Field,68740,2002
SJC,USA,Santa Clara,San Francisco Bay Area Stadium,Levi’s Stadium,68500,2014
YVR,CANADA,Vancouver,Vancouver Stadium,BC Place,54500,1983
YYZ,CANADA,Toronto,Toronto Stadium,BMO Field,45736,2007
